CrashDate,CrashTime,Borough,Cause,Count,Code
2/14/2020,15:21,BRONX,Other Vehicular,1,A206
2/14/2020,17:05,MANHATTAN,Other Vehicular,1,A207
2/14/2020,9:40,BRONX,Driver Inattention/Distraction,1,A208
2/14/2020,19:56,Unspecified,Driver Inattention/Distraction,1,A209
2/14/2020,18:20,QUEENS,Driver Inattention/Distraction,1,A210
2/14/2020,19:40,BROOKLYN,Unspecified,1,A211
2/14/2020,6:00,MANHATTAN,Passing Too Closely,1,A212
2/14/2020,16:10,QUEENS,Unspecified,1,A213
2/14/2020,19:15,BROOKLYN,Pavement Slippery,1,A214
2/14/2020,16:45,Unspecified,Driver Inattention/Distraction,1,A215
2/14/2020,20:10,BROOKLYN,Pavement Slippery,1,A216
2/14/2020,13:00,Unspecified,Failure to Yield Right-of-Way,1,A217
2/14/2020,10:30,BRONX,Driver Inattention/Distraction,1,A218
2/14/2020,19:50,Unspecified,Following Too Closely,1,A219
2/14/2020,16:22,BROOKLYN,Unspecified,1,A220
2/14/2020,12:45,Unspecified,Passing Too Closely,1,A221
2/14/2020,13:35,Unspecified,Unsafe Lane Changing,1,A222
2/14/2020,9:40,QUEENS,Backing Unsafely,1,A223
2/14/2020,21:00,QUEENS,Unspecified,1,A224
2/14/2020,17:20,Unspecified,Unsafe Lane Changing,1,A225
2/14/2020,18:45,Unspecified,View Obstructed/Limited,1,A226
2/14/2020,8:57,Unspecified,Driver Inattention/Distraction,1,A227
2/14/2020,15:00,Unspecified,Driver Inattention/Distraction,1,A228
2/14/2020,0:00,MANHATTAN,Unspecified,1,A229
2/14/2020,22:15,BRONX,Other Vehicular,1,A230
2/14/2020,14:20,Unspecified,Driver Inattention/Distraction,1,A231
2/14/2020,18:40,MANHATTAN,Passing or Lane Usage Improper,1,A232
2/14/2020,2:25,MANHATTAN,Driver Inattention/Distraction,1,A233
2/14/2020,17:02,Unspecified,Driver Inattention/Distraction,1,A234
2/14/2020,23:55,QUEENS,Driver Inattention/Distraction,1,A235
2/14/2020,17:43,Unspecified,Other Vehicular,1,A236
2/14/2020,16:00,QUEENS,Driver Inattention/Distraction,1,A237
2/14/2020,20:42,BROOKLYN,Unspecified,1,A238
2/14/2020,12:17,BROOKLYN,Failure to Yield Right-of-Way,1,A239
2/14/2020,9:30,Unspecified,Unsafe Lane Changing,1,A240
2/14/2020,19:45,BROOKLYN,Traffic Control Device Improper/Non-Working,1,A241
2/14/2020,8:13,BROOKLYN,Unsafe Lane Changing,1,A242
2/14/2020,16:30,Unspecified,Failure to Yield Right-of-Way,1,A243
2/14/2020,19:15,Unspecified,Driver Inattention/Distraction,1,A244
2/14/2020,16:20,BROOKLYN,Driver Inattention/Distraction,1,A245
2/14/2020,20:35,Unspecified,Following Too Closely,1,A246
2/14/2020,7:40,Unspecified,Driver Inattention/Distraction,1,A247
2/14/2020,9:00,Unspecified,Passing or Lane Usage Improper,1,A248
2/14/2020,8:20,BROOKLYN,Driver Inattention/Distraction,1,A249
2/14/2020,6:22,BROOKLYN,Passing Too Closely,1,A250
2/14/2020,1:55,Unspecified,Driver Inattention/Distraction,1,A251
2/14/2020,22:40,Unspecified,Driver Inexperience,1,A252
2/14/2020,18:10,BROOKLYN,Unspecified,1,A253
2/14/2020,18:00,QUEENS,Passing or Lane Usage Improper,1,A254
2/14/2020,16:20,BRONX,Driver Inattention/Distraction,1,A255
2/14/2020,14:30,Unspecified,Unspecified,1,A256
2/14/2020,16:44,BRONX,Driver Inexperience,1,A257
2/14/2020,7:24,Unspecified,Following Too Closely,1,A258
2/14/2020,10:25,Unspecified,Following Too Closely,1,A259
2/14/2020,9:45,Unspecified,Following Too Closely,1,A260
2/14/2020,9:24,QUEENS,Failure to Yield Right-of-Way,1,A261
2/14/2020,23:12,MANHATTAN,Failure to Yield Right-of-Way,1,A262
2/14/2020,10:50,BRONX,Unspecified,1,A263
2/14/2020,18:59,Unspecified,Unsafe Lane Changing,1,A264
2/14/2020,15:08,BRONX,Failure to Yield Right-of-Way,1,A265
2/14/2020,7:00,Unspecified,Following Too Closely,1,A266
2/14/2020,11:15,BROOKLYN,Passing or Lane Usage Improper,1,A267
2/14/2020,14:45,Unspecified,Driver Inattention/Distraction,1,A268
2/14/2020,10:00,QUEENS,Unsafe Speed,1,A269
2/14/2020,18:00,BROOKLYN,Unsafe Speed,1,A270
2/14/2020,21:22,BROOKLYN,Driver Inattention/Distraction,1,A271
2/14/2020,8:45,Unspecified,Passing Too Closely,1,A272
2/14/2020,17:38,STATEN ISLAND,Driver Inexperience,1,A273
2/14/2020,18:35,BRONX,Unspecified,1,A274
2/14/2020,22:30,Unspecified,Passing Too Closely,1,A275
2/14/2020,17:16,Unspecified,Unspecified,1,A276
2/14/2020,21:19,Unspecified,Following Too Closely,1,A277
2/14/2020,15:30,Unspecified,Failure to Yield Right-of-Way,1,A278
2/14/2020,22:30,BROOKLYN,Driver Inattention/Distraction,1,A279
2/14/2020,10:15,QUEENS,Unspecified,1,A280
2/14/2020,10:50,QUEENS,Passing or Lane Usage Improper,1,A281
2/14/2020,14:00,BROOKLYN,Driver Inattention/Distraction,1,A282
2/14/2020,14:53,Unspecified,Driver Inattention/Distraction,1,A283
2/14/2020,14:30,Unspecified,Following Too Closely,1,A284
2/14/2020,8:35,MANHATTAN,Driver Inexperience,1,A285
2/14/2020,20:00,Unspecified,Other Vehicular,1,A286
2/14/2020,15:50,Unspecified,Steering Failure,1,A287
2/14/2020,0:00,BROOKLYN,Driver Inattention/Distraction,1,A288
2/14/2020,7:45,Unspecified,Tire Failure/Inadequate,1,A289
2/14/2020,20:30,Unspecified,Driver Inattention/Distraction,1,A290
2/14/2020,19:29,QUEENS,Unspecified,1,A291
2/14/2020,3:31,Unspecified,Alcohol Involvement,1,A292
2/14/2020,12:00,BRONX,Passing or Lane Usage Improper,1,A293
2/14/2020,8:25,Unspecified,Passing Too Closely,1,A294
2/14/2020,12:45,BRONX,Unsafe Speed,1,A295
2/14/2020,9:05,Unspecified,Unsafe Lane Changing,1,A296
2/14/2020,20:41,Unspecified,Following Too Closely,1,A297
2/14/2020,11:45,Unspecified,Unsafe Lane Changing,1,A298
2/14/2020,14:30,BROOKLYN,Passing Too Closely,1,A299
2/14/2020,16:02,BRONX,Following Too Closely,1,A300
2/14/2020,16:45,QUEENS,Failure to Yield Right-of-Way,1,A301
2/14/2020,12:25,BROOKLYN,Driver Inattention/Distraction,1,A302
2/14/2020,1:24,BRONX,Alcohol Involvement,1,A303
2/14/2020,10:14,Unspecified,Driver Inattention/Distraction,1,A304
2/14/2020,13:16,MANHATTAN,Passing or Lane Usage Improper,1,A305
2/14/2020,12:00,QUEENS,Passing or Lane Usage Improper,1,A306
2/14/2020,15:45,BROOKLYN,Driver Inattention/Distraction,1,A307
2/14/2020,1:15,Unspecified,Passing or Lane Usage Improper,1,A308
2/14/2020,7:57,BRONX,Failure to Yield Right-of-Way,1,A309
2/14/2020,5:50,Unspecified,Driver Inattention/Distraction,1,A310
2/14/2020,20:10,BROOKLYN,Other Vehicular,1,A311
2/14/2020,15:05,Unspecified,Backing Unsafely,1,A312
2/14/2020,8:22,BROOKLYN,Backing Unsafely,1,A313
2/14/2020,9:19,Unspecified,Following Too Closely,1,A314
2/14/2020,10:40,Unspecified,Passing Too Closely,1,A315
2/14/2020,18:10,QUEENS,Driver Inattention/Distraction,1,A316
2/14/2020,19:32,Unspecified,Passing or Lane Usage Improper,1,A317
2/14/2020,7:00,QUEENS,Unspecified,1,A318
2/14/2020,9:45,MANHATTAN,Failure to Yield Right-of-Way,1,A319
2/14/2020,19:09,QUEENS,Unspecified,1,A320
2/14/2020,19:00,Unspecified,Driver Inattention/Distraction,1,A321
2/14/2020,14:44,BROOKLYN,Failure to Yield Right-of-Way,1,A322
2/14/2020,11:10,BROOKLYN,Unspecified,1,A323
2/14/2020,8:00,QUEENS,Brakes Defective,1,A324
2/14/2020,15:20,MANHATTAN,Other Vehicular,1,A325
2/14/2020,5:30,Unspecified,Failure to Yield Right-of-Way,1,A326
2/14/2020,10:00,QUEENS,Unspecified,1,A327
2/14/2020,16:08,BROOKLYN,Unspecified,1,A328
2/14/2020,22:44,Unspecified,Failure to Yield Right-of-Way,1,A329
2/14/2020,2:00,BROOKLYN,Unspecified,1,A330
2/14/2020,14:15,Unspecified,Passing or Lane Usage Improper,1,A331
2/14/2020,12:00,Unspecified,Unsafe Lane Changing,1,A332
2/14/2020,8:40,Unspecified,Failure to Yield Right-of-Way,1,A333
2/14/2020,10:32,BRONX,Unspecified,1,A334
2/14/2020,19:50,BROOKLYN,Steering Failure,1,A335
2/14/2020,17:00,BROOKLYN,Driver Inattention/Distraction,1,A336
