CRASH DATE,CRASH TIME,BOROUGH,CONTRIBUTING FACTOR VEHICLE 1,Count
1/13/2020,4:14,BROOKLYN,Unspecified,1
1/13/2020,15:50,,Driver Inattention/Distraction,1
1/13/2020,16:34,,Driver Inattention/Distraction,1
1/13/2020,7:15,QUEENS,Driver Inattention/Distraction,1
1/13/2020,20:00,BRONX,Driver Inattention/Distraction,1
1/13/2020,10:43,,Other Vehicular,1
1/13/2020,6:15,,Backing Unsafely,1
1/13/2020,7:20,,Backing Unsafely,1
1/13/2020,8:00,QUEENS,Unspecified,1
1/13/2020,13:58,QUEENS,Driver Inattention/Distraction,1
1/13/2020,13:28,BROOKLYN,Unspecified,1
1/13/2020,18:20,BROOKLYN,Passing Too Closely,1
1/13/2020,15:00,,Driver Inattention/Distraction,1
1/13/2020,18:05,QUEENS,Unspecified,1
1/13/2020,13:00,BROOKLYN,Unspecified,1
1/13/2020,14:30,,Passing Too Closely,1
1/13/2020,10:45,,Driver Inattention/Distraction,1
1/13/2020,0:30,,Following Too Closely,1
1/13/2020,10:00,BROOKLYN,Unspecified,1
1/13/2020,15:10,QUEENS,Unspecified,1
1/13/2020,19:28,BROOKLYN,Failure to Yield Right-of-Way,1
1/13/2020,8:14,QUEENS,Driver Inexperience,1
1/13/2020,17:00,,Following Too Closely,1
1/13/2020,23:00,BRONX,Unspecified,1
1/13/2020,20:07,BROOKLYN,Passing or Lane Usage Improper,1
1/13/2020,15:45,BROOKLYN,Passing Too Closely,1
1/13/2020,20:32,BROOKLYN,Driver Inattention/Distraction,1
1/13/2020,8:00,BROOKLYN,Passing Too Closely,1
1/13/2020,16:45,BROOKLYN,Unspecified,1
1/13/2020,6:50,QUEENS,Passing or Lane Usage Improper,1
1/13/2020,15:38,MANHATTAN,Unspecified,1
1/13/2020,8:50,MANHATTAN,Failure to Yield Right-of-Way,1
1/13/2020,8:38,,Backing Unsafely,1
1/13/2020,0:20,,Driver Inattention/Distraction,1
1/13/2020,17:26,,Unsafe Lane Changing,1
1/13/2020,14:45,BROOKLYN,Passing Too Closely,1
1/13/2020,19:34,QUEENS,Failure to Yield Right-of-Way,1
1/13/2020,7:45,QUEENS,Driver Inattention/Distraction,1
1/13/2020,8:30,BRONX,Driver Inattention/Distraction,1
1/13/2020,8:50,BROOKLYN,Driver Inattention/Distraction,1
1/13/2020,22:24,QUEENS,Driver Inattention/Distraction,1
1/13/2020,12:36,BRONX,,1
1/13/2020,20:17,BROOKLYN,Driver Inattention/Distraction,1
1/13/2020,12:00,BROOKLYN,Unspecified,1
1/13/2020,9:20,BROOKLYN,Failure to Yield Right-of-Way,1
1/13/2020,19:54,BRONX,Unspecified,1
1/13/2020,16:54,BRONX,Turning Improperly,1
1/13/2020,7:20,QUEENS,Following Too Closely,1
1/13/2020,6:41,BRONX,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,1
1/13/2020,21:17,QUEENS,Driver Inattention/Distraction,1
1/13/2020,11:00,QUEENS,Passing Too Closely,1
1/13/2020,6:10,QUEENS,Unspecified,1
1/13/2020,8:00,,Oversized Vehicle,1
1/13/2020,22:13,BRONX,Unspecified,1
1/13/2020,11:30,BRONX,Unsafe Lane Changing,1
1/13/2020,17:00,QUEENS,Unsafe Lane Changing,1
1/13/2020,8:20,BROOKLYN,Following Too Closely,1
1/13/2020,4:20,MANHATTAN,Driver Inattention/Distraction,1
1/13/2020,14:57,,Driver Inattention/Distraction,1
1/13/2020,14:18,QUEENS,Unspecified,1
1/13/2020,12:55,QUEENS,Unsafe Lane Changing,1
1/13/2020,16:13,BRONX,Driver Inattention/Distraction,1
1/13/2020,17:30,,Unspecified,1
1/13/2020,10:15,QUEENS,Backing Unsafely,1
1/13/2020,9:25,QUEENS,Following Too Closely,1
1/13/2020,17:56,BRONX,Headlights Defective,1
1/13/2020,0:00,BRONX,Failure to Yield Right-of-Way,1
1/13/2020,18:20,,Driver Inattention/Distraction,1
1/13/2020,7:40,,Unspecified,1
1/13/2020,13:45,MANHATTAN,Other Vehicular,1
1/13/2020,17:12,BROOKLYN,Other Vehicular,1
1/13/2020,12:09,,Unsafe Lane Changing,1
1/13/2020,12:22,MANHATTAN,Passing or Lane Usage Improper,1
1/13/2020,19:00,,Driver Inattention/Distraction,1
1/13/2020,2:15,BRONX,Outside Car Distraction,1
1/13/2020,11:00,,Reaction to Uninvolved Vehicle,1
1/13/2020,21:00,BROOKLYN,Unspecified,1
1/13/2020,13:10,,Following Too Closely,1
1/13/2020,17:25,,Following Too Closely,1
1/13/2020,16:09,,Driver Inattention/Distraction,1
1/13/2020,7:04,STATEN ISLAND,Driver Inattention/Distraction,1
1/13/2020,6:36,,Unspecified,1
1/13/2020,11:20,,Driver Inattention/Distraction,1
1/13/2020,13:30,QUEENS,Driver Inattention/Distraction,1
1/13/2020,14:00,,Passing Too Closely,1
1/13/2020,9:01,QUEENS,Driver Inattention/Distraction,1
1/13/2020,19:36,QUEENS,Driver Inattention/Distraction,1
1/13/2020,14:45,,Failure to Yield Right-of-Way,1
