CRASH DATE,CRASH TIME,BOROUGH,CONTRIBUTING FACTOR VEHICLE 1,Count
12/24/2019,17:10,MANHATTAN,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,1
12/24/2019,10:30,BROOKLYN,Driver Inattention/Distraction,1
12/24/2019,11:18,,Unspecified,1
12/24/2019,7:01,,Failure to Yield Right-of-Way,1
12/24/2019,23:00,QUEENS,Unsafe Speed,1
12/24/2019,12:50,QUEENS,Brakes Defective,1
12/24/2019,8:32,BROOKLYN,Turning Improperly,1
12/24/2019,8:10,BROOKLYN,Unspecified,1
12/24/2019,14:00,,Unsafe Lane Changing,1
12/24/2019,20:10,,Driver Inattention/Distraction,1
12/24/2019,14:21,STATEN ISLAND,Turning Improperly,1
12/24/2019,16:20,QUEENS,Unspecified,1
12/24/2019,5:40,,Driver Inattention/Distraction,1
12/24/2019,14:40,BROOKLYN,Driver Inattention/Distraction,1
12/24/2019,17:40,,Driver Inattention/Distraction,1
12/24/2019,12:00,BROOKLYN,Backing Unsafely,1
12/24/2019,16:30,QUEENS,Driver Inattention/Distraction,1
12/24/2019,17:00,,Following Too Closely,1
12/24/2019,5:55,,Driver Inattention/Distraction,1
12/24/2019,10:24,MANHATTAN,Driver Inattention/Distraction,1
12/24/2019,13:30,,Driver Inattention/Distraction,1
12/24/2019,17:57,,Driver Inattention/Distraction,1
12/24/2019,22:10,BRONX,Passing Too Closely,1
12/24/2019,16:46,BROOKLYN,Failure to Yield Right-of-Way,1
12/24/2019,23:10,BROOKLYN,Alcohol Involvement,1
12/24/2019,19:27,BROOKLYN,Driver Inattention/Distraction,1
12/24/2019,10:50,BRONX,Driver Inattention/Distraction,1
12/24/2019,13:38,QUEENS,Following Too Closely,1
12/24/2019,6:10,,Passing or Lane Usage Improper,1
12/24/2019,17:42,BRONX,Unspecified,1
12/24/2019,5:00,QUEENS,Unspecified,1
12/24/2019,19:40,QUEENS,Failure to Yield Right-of-Way,1
12/24/2019,10:10,BROOKLYN,Passing Too Closely,1
12/24/2019,13:20,BROOKLYN,Unspecified,1
12/24/2019,16:23,MANHATTAN,Driver Inattention/Distraction,1
12/24/2019,19:30,QUEENS,Unspecified,1
12/24/2019,4:10,QUEENS,Steering Failure,1
12/24/2019,15:39,BROOKLYN,Unspecified,1
12/24/2019,16:00,,Following Too Closely,1
12/24/2019,18:13,BRONX,Driver Inattention/Distraction,1
12/24/2019,17:11,QUEENS,Failure to Yield Right-of-Way,1
12/24/2019,8:00,QUEENS,Unspecified,1
12/24/2019,13:25,,Following Too Closely,1
12/24/2019,23:05,,Following Too Closely,1
12/24/2019,13:45,BRONX,Driver Inattention/Distraction,1
12/24/2019,17:50,QUEENS,Unsafe Lane Changing,1
12/24/2019,12:00,QUEENS,Passenger Distraction,1
12/24/2019,12:30,QUEENS,Unspecified,1
12/24/2019,21:00,,Unspecified,1
12/24/2019,14:30,MANHATTAN,Driver Inattention/Distraction,1
12/24/2019,22:20,,Following Too Closely,1
12/24/2019,13:00,BROOKLYN,Unspecified,1
12/24/2019,23:30,,Traffic Control Disregarded,1
12/24/2019,15:06,BRONX,Traffic Control Disregarded,1
12/24/2019,14:20,QUEENS,Driver Inattention/Distraction,1
12/24/2019,17:20,QUEENS,View Obstructed/Limited,1
12/24/2019,10:42,BROOKLYN,Other Vehicular,1
12/24/2019,10:50,MANHATTAN,Driver Inattention/Distraction,1
12/24/2019,14:59,STATEN ISLAND,Failure to Yield Right-of-Way,1
12/24/2019,11:45,BROOKLYN,Passing Too Closely,1
12/24/2019,16:35,QUEENS,Unspecified,1
12/24/2019,18:52,QUEENS,Driver Inattention/Distraction,1
12/24/2019,9:13,,Unspecified,1
12/24/2019,22:50,BROOKLYN,Driver Inattention/Distraction,1
12/24/2019,20:30,QUEENS,Unspecified,1
12/24/2019,15:45,QUEENS,Unspecified,1
12/24/2019,15:55,,Driver Inattention/Distraction,1
12/24/2019,0:00,,Failure to Yield Right-of-Way,1
12/24/2019,9:55,,Unspecified,1
12/24/2019,10:30,,Driver Inattention/Distraction,1
12/24/2019,7:55,BROOKLYN,Glare,1
12/24/2019,11:00,BRONX,Failure to Yield Right-of-Way,1
12/24/2019,12:55,BROOKLYN,Aggressive Driving/Road Rage,1
12/24/2019,18:45,,Following Too Closely,1
12/24/2019,7:20,QUEENS,Illnes,1
12/24/2019,12:46,QUEENS,Following Too Closely,1
12/24/2019,7:50,BROOKLYN,Passing or Lane Usage Improper,1
12/24/2019,17:06,QUEENS,Failure to Yield Right-of-Way,1
12/24/2019,14:15,,Following Too Closely,1
12/24/2019,13:50,BROOKLYN,Driver Inattention/Distraction,1
12/24/2019,20:15,QUEENS,Driver Inattention/Distraction,1
12/24/2019,8:43,BROOKLYN,Driver Inattention/Distraction,1
12/24/2019,14:30,QUEENS,Unspecified,1
12/24/2019,15:00,BRONX,Driver Inattention/Distraction,1
12/24/2019,11:27,,Driver Inexperience,1
12/24/2019,9:44,BRONX,Unspecified,1
12/24/2019,17:30,BRONX,Unspecified,1
12/24/2019,9:29,BRONX,Unspecified,1
12/24/2019,11:50,QUEENS,Failure to Yield Right-of-Way,1
12/24/2019,18:20,BROOKLYN,Driver Inattention/Distraction,1
12/24/2019,10:15,QUEENS,Unspecified,1
12/24/2019,14:54,,Driver Inattention/Distraction,1
12/24/2019,21:40,QUEENS,Unspecified,1
12/24/2019,13:30,QUEENS,Unspecified,1
12/24/2019,18:12,BROOKLYN,Unspecified,1
12/24/2019,13:00,BROOKLYN,Backing Unsafely,1
12/24/2019,16:47,BROOKLYN,Failure to Yield Right-of-Way,1
12/24/2019,20:00,BROOKLYN,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,1
12/24/2019,12:15,,Driver Inattention/Distraction,1
12/24/2019,15:30,QUEENS,Unspecified,1
12/24/2019,17:43,BROOKLYN,Driver Inattention/Distraction,1
12/24/2019,7:00,,Passing or Lane Usage Improper,1
12/24/2019,12:51,,Driver Inattention/Distraction,1
12/24/2019,0:00,BROOKLYN,Traffic Control Disregarded,1
12/24/2019,15:50,QUEENS,Unspecified,1
12/24/2019,17:00,QUEENS,Unsafe Lane Changing,1
12/24/2019,8:30,BROOKLYN,Glare,1
12/24/2019,9:00,,Driver Inattention/Distraction,1
12/24/2019,9:35,QUEENS,Backing Unsafely,1
12/24/2019,19:08,BROOKLYN,Unspecified,1
12/24/2019,7:55,,Unspecified,1
12/24/2019,8:20,BRONX,Passing or Lane Usage Improper,1
12/24/2019,11:09,BROOKLYN,Passing or Lane Usage Improper,1
12/24/2019,18:30,,Driver Inattention/Distraction,1
12/24/2019,20:54,BRONX,Unspecified,1
12/24/2019,15:00,BRONX,Unspecified,1
12/24/2019,14:35,MANHATTAN,Driver Inattention/Distraction,1
12/24/2019,2:50,QUEENS,Aggressive Driving/Road Rage,1
12/24/2019,22:28,BRONX,Driver Inattention/Distraction,1
12/24/2019,10:20,QUEENS,Unspecified,1
12/24/2019,5:49,,Unsafe Speed,1
12/24/2019,13:31,,Following Too Closely,1
12/24/2019,13:30,QUEENS,Driver Inattention/Distraction,1
12/24/2019,13:00,,Following Too Closely,1
12/24/2019,17:00,QUEENS,Driver Inattention/Distraction,1
12/24/2019,18:00,MANHATTAN,Unspecified,1
12/24/2019,12:00,,Turning Improperly,1
12/24/2019,16:20,BRONX,Unspecified,1
12/24/2019,0:38,BRONX,Unspecified,1
12/24/2019,3:52,QUEENS,Driver Inattention/Distraction,1
12/24/2019,13:40,BRONX,Unspecified,1
12/24/2019,16:03,BROOKLYN,Driver Inattention/Distraction,1
12/24/2019,5:41,MANHATTAN,Traffic Control Disregarded,1
12/24/2019,19:37,QUEENS,Backing Unsafely,1
12/24/2019,17:20,BRONX,Unspecified,1
12/24/2019,14:00,QUEENS,Unspecified,1
12/24/2019,10:50,QUEENS,Driver Inattention/Distraction,1
12/24/2019,22:09,,Unspecified,1
12/24/2019,23:08,,Driver Inexperience,1
12/24/2019,14:20,,Unspecified,1
12/24/2019,15:18,BROOKLYN,Unspecified,1
12/24/2019,10:50,BRONX,Unspecified,1
12/24/2019,19:27,MANHATTAN,Backing Unsafely,1
12/24/2019,21:05,BROOKLYN,Driver Inattention/Distraction,1
12/24/2019,6:30,MANHATTAN,Failure to Yield Right-of-Way,1
12/24/2019,11:15,BROOKLYN,Driver Inattention/Distraction,1
12/24/2019,11:49,QUEENS,Backing Unsafely,1
12/24/2019,21:00,BROOKLYN,Oversized Vehicle,1
12/24/2019,14:45,MANHATTAN,Backing Unsafely,1
12/24/2019,17:38,,Passing or Lane Usage Improper,1
12/24/2019,15:30,,Following Too Closely,1
12/24/2019,0:15,BRONX,Passing or Lane Usage Improper,1
